[SYSTEMD SERVICES]
UNIT FILE                                    STATE           PRESET
accounts-daemon.service                      enabled         enabled
apache-htcacheclean.service                  disabled        disabled
apache-htcacheclean@.service                 disabled        disabled
apache2.service                              disabled        disabled
apache2@.service                             disabled        disabled
apparmor.service                             disabled        disabled
apt-daily-upgrade.service                    static          -
apt-daily.service                            static          -
atftpd.service                               indirect        disabled
auth-rpcgss-module.service                   static          -
autovt@.service                              alias           -
avahi-daemon.service                         disabled        disabled
blueman-mechanism.service                    disabled        disabled
bluetooth.service                            disabled        disabled
breakpoint-pre-basic.service                 static          -
breakpoint-pre-mount.service                 static          -
breakpoint-pre-switch-root.service           static          -
breakpoint-pre-udev.service                  static          -
capsule@.service                             static          -
colord.service                               static          -
configure-printer@.service                   static          -
console-getty.service                        disabled        disabled
console-setup.service                        enabled         enabled
container-getty@.service                     static          -
containerd.service                           disabled        disabled
cron.service                                 enabled         enabled
cryptdisks-early.service                     masked          disabled
cryptdisks.service                           masked          disabled
dbus-org.freedesktop.hostname1.service       alias           -
dbus-org.freedesktop.locale1.service         alias           -
dbus-org.freedesktop.login1.service          alias           -
dbus-org.freedesktop.ModemManager1.service   alias           -
dbus-org.freedesktop.nm-dispatcher.service   alias           -
dbus-org.freedesktop.timedate1.service       alias           -
dbus.service                                 static          -
debug-shell.service                          disabled        disabled
display-manager.service                      alias           -
docker.service                               enabled         enabled
dpkg-db-backup.service                       static          -
e2scrub@.service                             static          -
e2scrub_all.service                          static          -
e2scrub_fail@.service                        static          -
e2scrub_reap.service                         enabled         disabled
emergency.service                            static          -
faraday.service                              disabled        disabled
fstrim.service                               static          -
geoclue.service                              static          -
getty-static.service                         static          -
getty@.service                               enabled         enabled
gophish.service                              disabled        disabled
grub-common.service                          disabled        disabled
grub-install-devices.service                 enabled         disabled
gvmd.service                                 disabled        disabled
haveged.service                              enabled         enabled
hwclock.service                              masked          disabled
ifup@.service                                static          -
ifupdown-pre.service                         static          -
ifupdown-wait-online.service                 disabled        disabled
iio-sensor-proxy.service                     static          -
initrd-cleanup.service                       static          -
initrd-parse-etc.service                     static          -
initrd-switch-root.service                   static          -
initrd-udevadm-cleanup-db.service            static          -
iodined.service                              masked          disabled
ipp-usb.service                              static          -
ipsec.service                                alias           -
keyboard-setup.service                       enabled         enabled
kismet.service                               disabled        disabled
kmod-static-nodes.service                    static          -
kmod.service                                 alias           -
